Pregunta 6,Pregunta 7,Pregunta 8,Pregunta 9,Pregunta 10
A,B,E,C,E
A,A,A,A,C
B,B,A,B,A
B,B,E,A,A
B,D,D,C,C
A,A,F,B,C
A,A,B,B,A
A,D,E,A,A
A,C,D,B,E
A,C,E,C,E
B,B,A,A,E
B,B,B,B,B
B,C,D,D,E
A,B,B,C,E
A,D,D,A,C
B,B,B,A,B
A,C,B,D,A
A,C,A,A,B
A,D,C,A,A
A,D,A,C,C
A,B,F,B,C
A,B,E,D,D
A,A,C,D,B
A,A,B,C,D
B,B,D,A,A
A,B,E,A,D
A,B,D,C,C
B,A,F,A,C
B,D,A,D,D
B,C,D,D,A
B,A,B,B,D
A,B,D,B,C
B,B,A,A,D
A,A,F,B,C
A,A,D,B,B
A,C,B,C,E
A,C,C,C,E
A,D,E,B,A
B,C,A,B,E
B,C,B,A,B
A,A,C,C,B
A,D,C,C,D
A,D,B,C,B
B,A,A,B,C
A,A,A,B,A
B,B,C,C,B
B,C,E,B,A
A,C,B,B,A
A,A,C,C,A
B,B,F,C,C
A,A,C,B,A
B,C,A,A,C
B,B,F,D,A
A,C,B,D,D
A,A,A,B,A
B,A,B,C,C
A,C,F,C,D
A,D,C,B,B
A,A,A,B,B
B,D,F,D,B
B,B,F,C,B
B,D,C,A,C
A,D,C,B,A
A,C,C,A,C
B,B,E,B,E
A,C,E,A,A
A,C,B,A,C
A,D,C,B,C
A,D,A,D,E
A,C,C,B,D
B,C,D,D,E
B,B,A,B,D
A,C,C,C,D
A,A,F,A,E
A,C,B,A,B
A,C,C,C,A
B,A,A,B,A
A,A,D,B,D
B,A,C,B,A
B,B,E,A,B
B,D,E,A,A
B,A,B,C,A
A,D,A,A,D
A,C,B,B,A
A,C,B,B,E
A,B,F,A,A
B,A,E,D,A
B,A,D,A,B
B,A,D,B,A
A,C,C,B,D
A,C,B,B,A
B,B,C,D,B
B,A,F,B,B
A,B,B,C,E
B,A,E,B,A
A,A,D,A,B
B,C,D,A,A
B,D,B,D,B
A,A,E,D,E
B,A,F,D,D
A,C,F,B,D
B,C,B,A,B
B,B,D,C,B
B,B,D,A,C
A,D,B,D,A
B,C,E,B,B
B,A,F,B,C
A,D,E,D,D
A,C,E,D,E
B,C,F,C,A
B,C,A,B,D
A,D,B,B,A
B,C,C,D,E
B,C,B,D,E
B,D,C,A,B
B,B,D,D,D
A,D,F,A,C
B,C,B,A,B
B,C,B,C,A
A,C,C,D,D
B,D,B,C,A
B,A,C,B,B
B,C,C,D,B
B,A,B,D,C
B,A,C,A,C
B,C,F,A,A
A,D,E,B,C
A,A,C,C,D
B,A,A,D,C
A,C,C,D,E
A,A,E,B,B
A,B,F,D,E
B,B,A,C,C
A,D,C,D,B
B,B,E,D,A
A,C,C,C,A
B,C,E,C,D
A,C,C,D,E
A,B,B,B,D
B,C,D,D,B
A,D,E,C,D
B,B,A,D,A
A,C,F,A,B
B,D,D,B,A
B,A,A,C,B
A,D,C,C,C
B,A,C,B,E
A,C,C,A,D
B,B,E,D,E
A,C,C,B,B
A,A,C,A,D
A,B,B,D,B
B,C,E,C,D
B,A,B,A,B
B,B,A,C,E
B,C,C,B,C
A,A,B,D,A
A,C,B,C,A
B,A,D,B,C
A,C,A,B,A
A,C,F,B,A
A,B,C,D,B
B,A,B,C,E
A,C,E,A,B
A,A,E,A,D
A,D,A,C,D
A,D,A,D,D
A,A,B,B,B
A,B,B,D,B
A,B,D,D,B
B,B,B,D,D
B,D,E,B,A
A,A,C,A,E
B,B,A,C,A
A,C,B,D,D
B,B,E,D,D
B,A,E,D,D
B,C,D,A,C
A,B,D,D,C
A,D,B,A,B
A,C,A,B,B
B,D,D,C,E
A,A,A,C,C
B,C,B,B,A
A,B,F,A,C
A,D,C,D,E
B,A,C,B,D
B,D,D,D,B
A,C,D,B,E
A,A,E,B,D
B,D,E,A,C
B,D,F,C,D
B,B,B,B,D
A,C,B,C,D
A,A,D,A,B
A,C,E,C,B
A,C,A,C,A
B,A,D,A,C
B,D,D,D,E
A,D,E,D,B
B,D,F,D,D
A,D,A,A,C
B,A,F,D,B
A,D,A,B,A
B,D,E,D,B
A,B,D,D,A
A,A,D,D,B
B,A,B,B,B
B,C,B,C,B
B,D,C,A,A
A,B,C,A,D
A,A,A,B,E
A,C,D,A,B
B,C,E,B,B
B,C,B,C,D
B,B,A,B,A
A,A,F,D,D
A,B,C,B,C
B,A,A,D,C
A,B,E,A,D
A,A,C,A,C
B,B,E,B,B
A,C,A,C,C
B,D,A,B,B
A,D,F,B,E
B,A,C,C,E
B,A,E,B,E
B,B,C,A,B
B,D,B,D,D
A,C,E,D,A
B,A,F,C,D
A,C,B,B,A
A,D,B,C,C
B,C,C,D,B
A,C,C,C,C
B,B,E,D,E
B,D,D,B,A
A,A,A,C,D
A,B,C,A,E
A,B,A,D,A
B,B,B,D,A
A,D,E,D,A
A,B,E,B,D
B,A,E,B,E
A,A,D,D,A
B,C,F,A,C
A,C,F,B,D
A,D,F,C,D
A,C,F,C,A
A,D,D,D,D
A,C,B,A,E
B,A,C,A,D
A,D,D,B,E
B,C,F,A,D
B,B,C,C,E
B,B,D,C,E
A,D,F,D,B
A,D,C,D,E
A,C,C,C,B
B,A,B,C,A
A,A,A,A,D
B,A,F,C,D
B,D,C,D,B
A,C,D,A,E
A,B,C,D,C
A,C,C,D,C
A,C,F,B,B
B,D,F,A,C
B,B,F,C,B
B,D,F,D,E
A,C,D,D,A
B,D,F,D,D
B,B,E,A,B
B,C,F,A,E
B,D,C,D,C
B,C,C,B,C
A,C,A,B,E
A,C,A,B,D
B,C,D,C,C
B,C,A,B,A
A,C,A,C,C
A,B,A,A,D
A,B,E,B,A
B,D,A,D,A
B,D,B,B,E
B,D,F,D,C
B,C,B,A,A
B,D,C,A,A
B,B,B,D,D
A,C,B,B,A
B,B,F,D,A
A,A,D,A,A
B,D,E,B,E
B,C,E,C,E
B,C,C,D,C
B,B,F,B,E
A,D,C,A,B
B,A,B,C,B
B,C,E,C,C
A,B,A,B,A
