Pregunta 11,Pregunta 12,Pregunta 13,Pregunta 14,Pregunta 15
B,B,A,D,D
D,B,C,A,D
D,B,B,B,E
B,D,B,D,A
B,C,A,D,B
C,C,A,C,B
A,C,C,D,D
C,D,C,A,A
D,B,B,B,A
A,C,A,D,B
B,A,A,B,E
D,D,B,A,C
C,C,C,B,C
D,B,C,B,E
D,A,A,C,E
D,C,A,C,B
A,C,C,A,A
A,A,A,C,C
B,D,B,D,E
C,D,B,A,A
A,B,C,C,A
A,B,C,D,D
D,A,B,B,C
D,A,A,A,B
B,A,B,B,E
A,D,A,C,E
C,C,C,C,C
C,A,A,C,E
B,B,A,B,C
B,C,A,A,E
B,B,B,C,B
B,C,B,C,E
C,C,A,B,E
A,B,A,B,B
D,D,C,A,B
C,D,B,D,C
D,D,B,C,E
A,C,C,B,D
D,A,A,A,B
D,D,B,C,A
B,D,A,A,E
D,D,B,B,C
C,B,B,A,E
B,D,A,C,C
C,A,B,B,A
C,B,A,A,E
B,B,B,C,D
A,D,A,A,D
C,C,B,C,B
C,D,B,C,A
C,C,A,B,B
B,A,B,D,D
C,A,C,D,E
C,B,C,A,D
D,D,C,B,C
B,A,A,C,D
B,C,C,B,C
A,D,C,A,D
B,A,C,D,D
D,B,C,C,D
B,A,C,C,C
A,B,B,D,D
A,D,A,C,E
D,D,C,A,A
D,D,A,B,E
D,C,A,C,B
C,D,B,D,A
D,B,B,D,B
C,A,B,A,A
A,D,B,A,B
D,D,C,A,E
A,B,A,A,D
C,A,B,B,C
D,D,B,A,D
C,C,C,D,E
B,B,A,D,B
D,A,A,A,A
B,A,A,B,E
B,A,C,D,B
C,A,B,C,C
D,C,C,A,E
A,A,B,C,C
C,B,B,B,D
A,B,A,C,B
C,B,A,C,C
C,D,B,D,B
D,B,A,D,B
A,D,B,D,B
D,B,B,B,A
D,D,A,B,B
B,B,C,A,B
D,A,A,A,E
D,A,A,C,A
A,B,B,B,C
B,B,A,B,A
A,D,B,D,A
D,D,A,D,B
B,C,B,C,D
A,B,B,C,E
B,A,A,A,D
D,D,C,A,B
D,D,B,B,A
C,A,A,C,A
B,A,A,C,A
C,A,B,D,C
B,D,B,D,D
B,B,B,A,B
D,C,B,D,B
C,B,A,D,C
D,B,B,C,B
B,D,C,B,D
C,B,B,C,B
A,D,A,D,E
B,C,A,A,C
D,D,C,C,C
C,D,C,D,B
B,C,A,A,B
B,C,C,D,C
C,D,C,D,E
A,A,B,D,D
B,B,B,A,C
B,C,A,A,E
D,D,A,A,B
D,D,A,B,E
B,D,B,A,D
A,A,B,B,A
B,A,B,B,D
B,B,A,C,D
A,D,A,C,E
B,C,A,B,C
B,B,C,C,A
A,D,B,D,A
B,C,B,B,C
C,B,A,A,B
C,D,C,A,D
B,B,A,A,A
A,B,A,C,C
C,A,C,B,B
A,D,B,C,C
C,C,A,A,E
A,D,C,D,B
C,B,B,C,D
D,A,B,B,C
D,A,C,B,E
D,A,A,D,A
B,B,B,A,C
D,D,B,A,C
B,D,B,D,E
A,D,C,D,C
C,A,A,B,D
B,C,B,B,A
D,B,B,D,E
A,D,B,C,A
D,A,B,B,B
B,D,A,A,E
A,D,A,D,E
B,C,C,D,E
D,D,B,C,B
A,C,C,B,B
B,C,C,D,B
D,A,A,B,C
B,B,C,D,B
A,C,B,D,E
A,A,B,A,E
C,C,C,C,A
B,D,A,A,E
C,D,A,D,D
D,C,B,D,E
B,C,A,D,E
A,A,B,C,E
C,C,A,D,D
A,C,C,A,C
D,C,A,B,A
A,C,B,A,D
C,B,A,B,B
D,D,A,B,A
C,D,A,B,D
B,C,B,D,D
A,B,B,C,A
A,B,C,A,A
B,A,C,D,A
A,A,B,D,C
C,C,A,A,B
B,A,C,D,B
C,B,B,C,D
D,A,B,D,D
B,B,C,A,B
B,A,C,A,D
A,D,B,A,A
A,D,C,D,E
A,A,A,D,A
B,C,C,D,B
D,D,B,B,A
C,D,C,B,C
A,A,A,C,D
A,C,A,B,B
A,D,B,B,E
C,C,A,A,D
D,D,A,D,D
C,B,A,A,D
D,C,C,D,A
B,D,A,B,A
D,B,B,B,D
A,B,A,B,E
C,A,C,A,C
B,B,A,A,C
B,C,C,B,C
A,C,C,C,A
B,B,C,D,C
A,A,C,A,B
B,A,C,D,A
B,A,B,C,C
A,D,A,C,A
D,B,B,D,E
A,C,A,A,D
D,B,B,A,C
D,D,B,D,D
A,D,C,D,C
C,C,B,D,D
A,B,C,B,A
D,D,A,B,E
C,C,B,B,C
C,B,C,C,D
C,A,C,A,A
A,C,C,C,C
A,A,A,A,A
C,C,C,D,E
A,C,A,D,E
C,C,A,C,A
C,B,B,B,C
D,D,C,D,A
C,B,B,C,B
C,B,A,D,E
A,B,B,D,B
C,D,B,A,A
A,B,C,B,A
D,B,A,C,B
D,A,B,A,D
D,A,B,D,E
D,D,B,B,D
A,D,B,D,D
B,A,A,C,E
B,A,B,C,B
C,A,C,C,B
A,A,A,C,C
A,D,A,C,A
D,C,C,B,B
B,B,C,C,E
D,D,A,B,B
C,D,C,C,D
B,A,C,D,B
D,A,B,D,D
C,C,C,A,D
D,C,A,C,E
C,A,C,B,C
D,A,B,A,D
D,B,C,C,E
B,D,B,D,A
D,D,C,D,A
B,C,A,C,B
B,D,A,B,B
B,A,B,C,D
B,A,C,A,A
D,B,A,C,E
C,C,B,C,B
B,B,A,B,A
A,A,A,B,B
B,C,A,C,C
C,B,B,C,C
A,B,A,A,D
B,B,B,C,D
C,A,A,C,E
C,D,C,C,B
D,A,C,B,B
C,D,B,B,E
B,B,A,B,D
B,C,A,C,C
B,D,B,A,B
A,A,C,C,D
D,D,A,A,E
B,A,C,A,B
D,B,A,D,A
A,A,B,A,A
D,C,B,B,C
A,C,C,B,D
C,B,C,A,A
D,B,B,D,A
A,B,A,A,B
A,C,B,A,E
B,A,A,D,C
C,B,A,A,C
C,C,B,D,A
D,C,A,B,A
D,A,B,D,C
D,A,C,C,A
D,C,C,B,B
C,D,C,B,D
B,C,B,C,B
A,D,A,B,D
D,D,C,A,D
