Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10
B,E,D,C,C,C,D,D,A,D
B,C,A,B,D,B,B,B,B,C
C,C,B,B,A,C,C,B,D,D
D,D,A,C,C,B,B,B,A,D
C,E,A,A,B,A,D,A,A,D
C,E,E,A,B,A,C,D,C,A
A,C,B,C,D,B,D,C,D,A
A,E,C,D,C,A,D,D,C,B
B,D,D,D,A,C,C,D,B,B
D,B,A,C,A,C,D,C,A,B
A,E,E,A,B,B,D,B,D,B
D,C,C,C,A,C,C,A,D,C
D,D,B,A,C,B,D,A,D,B
C,D,B,A,D,C,A,D,A,A
A,C,B,A,D,A,B,D,A,D
C,E,B,B,C,C,D,A,C,B
C,A,E,D,D,C,D,C,A,D
B,B,C,D,D,B,B,D,A,A
A,E,D,D,A,B,A,C,C,A
D,B,A,C,C,C,A,B,D,C
D,E,B,D,A,D,B,B,B,A
B,B,C,C,C,A,B,B,D,D
C,C,D,C,B,A,A,D,B,A
B,A,A,A,C,B,B,A,B,C
A,C,D,A,B,B,A,B,A,A
B,D,E,A,B,C,C,A,B,D
D,E,E,A,B,C,A,B,D,D
D,C,C,B,C,D,B,B,A,D
C,B,E,C,B,C,A,D,B,D
B,E,A,D,A,A,A,B,D,D
D,A,C,C,A,B,D,C,C,D
C,B,D,D,A,B,D,C,D,D
C,A,C,A,B,C,D,D,A,D
B,A,D,B,C,A,A,D,B,B
A,C,C,C,B,C,C,B,D,C
A,C,D,A,D,A,B,D,C,A
C,E,B,D,C,D,A,D,A,D
B,C,D,C,C,B,D,C,B,A
B,C,E,D,C,D,B,D,B,C
D,A,B,B,C,D,D,A,A,C
B,D,B,D,A,D,C,D,B,B
B,E,B,B,B,B,B,D,B,C
C,E,A,B,C,D,D,C,A,D
B,E,E,C,A,D,B,A,D,A
C,A,D,C,A,A,A,D,A,C
B,A,E,B,C,D,A,B,D,C
A,A,E,A,C,D,A,C,A,D
D,A,B,B,A,A,D,C,A,D
D,C,B,C,A,D,A,D,D,A
A,D,B,A,C,C,C,A,D,C
D,C,B,A,A,C,B,C,C,A
B,A,C,C,A,A,A,C,D,A
A,E,C,A,C,B,A,D,A,B
D,C,C,C,C,B,A,B,C,B
A,E,A,C,D,A,D,D,A,D
C,B,A,B,C,A,B,C,A,B
A,A,D,A,C,B,A,D,D,C
A,B,B,B,D,B,D,C,D,D
A,E,E,A,A,B,C,C,B,C
A,E,C,A,C,A,C,D,B,C
B,B,C,D,B,C,B,C,B,C
C,A,D,A,D,D,B,D,A,A
B,E,C,D,D,C,B,A,A,D
A,B,E,C,B,C,C,A,A,C
D,E,D,A,D,D,B,A,B,A
C,D,A,C,B,A,C,B,A,B
D,D,C,C,A,C,B,C,D,B
D,E,E,D,B,A,B,B,A,B
A,A,D,D,A,A,D,A,D,D
C,E,C,A,D,C,D,C,D,C
A,A,C,D,C,D,B,A,B,A
C,C,C,A,B,D,D,A,A,D
D,A,A,A,D,A,A,D,A,B
D,A,B,B,C,B,B,A,D,B
C,A,C,A,B,A,C,A,D,C
D,C,D,D,B,C,A,B,A,C
D,D,B,D,A,D,C,D,D,B
C,D,A,A,D,A,B,D,A,D
D,A,E,C,D,A,C,C,D,B
D,B,A,D,D,A,D,D,C,D
A,A,E,C,D,A,A,A,D,A
D,E,A,D,A,B,A,A,A,D
D,B,E,D,B,A,A,D,C,B
D,C,A,B,A,A,D,A,A,A
