Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10
E,B,B,B,C,B,D,C,C,D
G,B,C,D,C,A,D,A,B,C
E,B,C,D,D,D,B,A,D,B
E,B,A,B,B,A,C,B,A,A
C,B,B,B,C,A,C,C,B,C
C,D,A,D,C,D,A,A,D,B
F,A,D,D,A,A,D,C,A,C
A,B,D,D,C,B,A,A,C,B
G,A,B,A,C,D,D,D,A,C
B,B,B,D,D,A,C,C,C,D
D,B,A,B,C,B,A,A,B,D
C,B,D,D,C,C,A,A,C,A
F,D,D,D,D,B,A,D,B,D
B,A,B,A,A,B,B,B,D,C
G,D,B,B,D,A,B,C,B,C
F,D,B,C,A,C,D,B,B,B
F,B,D,D,A,D,C,C,A,D
C,B,A,A,B,C,B,C,C,B
G,C,A,C,D,B,C,B,D,D
E,B,A,A,D,D,D,D,B,B
F,B,D,B,A,A,A,C,D,C
B,D,A,A,A,B,D,C,C,B
C,A,A,B,A,A,A,D,C,C
C,C,A,B,A,A,B,C,C,C
C,C,A,D,B,A,C,A,A,C
E,A,C,A,D,D,A,C,D,C
F,A,A,D,B,B,D,B,A,D
E,A,D,D,A,A,A,C,C,A
B,B,C,A,C,B,B,A,A,D
B,C,B,C,B,D,B,A,B,C
E,A,A,B,C,B,A,C,A,C
E,B,A,C,D,A,C,D,C,A
C,C,A,B,C,D,A,B,B,D
F,A,D,C,B,D,C,D,B,B
C,D,A,B,D,C,B,D,A,D
B,C,D,A,A,C,A,D,C,A
G,D,B,C,B,D,D,A,B,C
A,B,B,C,B,B,C,B,A,B
F,C,B,B,C,B,C,B,A,B
A,B,D,B,A,A,B,A,D,D
F,C,B,A,B,C,B,B,D,D
E,C,B,C,A,B,C,B,D,B
B,C,B,B,D,A,B,B,D,C
G,B,A,B,A,C,A,D,C,B
D,B,B,C,A,D,D,D,A,B
C,D,C,A,A,B,C,A,D,B
D,C,A,D,A,C,D,C,B,B
G,B,A,C,B,C,B,C,B,C
B,D,C,C,B,D,D,A,A,D
C,A,A,D,B,B,B,B,B,A
E,B,C,B,B,C,A,D,D,C
B,B,D,D,D,A,D,A,A,D
A,D,D,A,C,D,B,C,B,C
G,D,A,A,D,A,B,D,D,A
A,B,B,D,C,D,D,C,A,A
B,C,C,D,D,B,D,D,C,D
E,D,D,C,D,A,C,B,A,A
E,B,D,C,C,A,D,B,B,B
D,C,B,D,B,A,D,D,D,A
D,A,A,B,A,A,A,D,D,D
B,B,C,D,D,C,C,B,A,D
G,D,A,C,D,B,D,B,C,C
A,B,B,B,C,C,A,D,C,C
F,D,A,A,A,C,B,B,B,A
A,C,B,C,B,C,D,D,A,B
B,D,B,C,C,D,B,B,D,D
E,A,B,B,D,D,D,A,B,D
F,A,D,A,A,C,A,B,C,C
C,B,A,A,A,C,D,C,D,A
A,C,A,A,C,D,C,C,B,C
B,B,C,C,A,A,C,D,D,C
G,A,B,C,A,C,D,B,C,D
B,A,D,B,D,D,B,B,C,D
F,A,B,B,C,A,B,C,A,C
A,B,B,A,C,C,D,D,B,D
F,D,C,C,B,A,D,D,D,A
A,C,A,D,B,A,B,B,B,B
C,A,D,B,D,D,C,D,C,D
E,B,A,D,A,B,C,A,D,D
G,C,D,A,C,A,D,D,A,C
E,D,D,D,C,A,D,C,C,B
D,A,C,B,C,A,B,B,A,C
E,A,A,D,D,D,C,D,B,C
C,A,B,D,B,C,C,B,B,D
A,C,A,C,D,C,A,D,C,D
G,C,C,D,D,A,A,D,C,A
F,D,A,C,A,B,D,B,C,B
D,C,B,D,C,B,C,D,B,A
F,C,D,D,A,A,A,D,D,B
F,B,D,A,C,A,C,A,C,D
E,C,B,C,A,C,B,A,D,D
C,C,B,C,A,A,D,C,C,D
F,C,D,D,B,A,A,B,D,C
B,C,B,C,D,B,B,A,B,D
E,B,A,A,B,A,C,B,C,A
B,A,C,C,B,D,B,C,B,B
C,B,D,B,A,B,C,C,A,A
D,C,A,A,A,A,D,B,B,D
F,D,C,D,C,C,B,A,A,B
E,D,B,D,D,A,A,B,C,A
B,A,B,D,D,C,C,B,C,B
B,D,D,D,B,B,A,A,A,A
A,B,C,A,C,C,C,D,C,A
F,B,D,C,A,D,A,B,B,B
C,B,B,B,A,A,A,A,D,D
C,C,D,C,D,D,C,A,D,D
A,B,A,D,D,B,B,B,B,C
E,B,A,B,B,A,D,A,C,B
C,A,A,A,D,B,B,D,D,A
D,B,A,A,C,A,D,C,B,C
B,B,A,A,D,A,D,B,B,D
G,C,C,C,B,A,A,C,D,C
B,A,D,D,A,A,C,B,B,D
C,C,B,C,C,D,B,B,D,B
G,D,D,D,B,A,B,D,D,A
G,C,B,B,B,D,D,D,B,B
B,B,C,A,C,A,C,A,B,B
D,C,D,A,A,A,C,D,C,C
A,C,A,B,A,A,D,D,A,D
G,C,A,B,A,D,D,C,C,B
F,C,C,C,C,A,A,A,B,A
F,D,B,A,C,D,C,D,A,B
D,B,D,D,A,B,A,C,A,B
D,C,D,C,A,B,C,A,B,B
B,B,D,B,C,B,A,A,D,B
B,D,B,D,D,C,A,C,D,D
F,C,B,A,A,C,A,D,D,D
C,A,C,A,B,D,D,C,A,A
B,A,B,A,D,B,A,D,B,A
C,A,D,C,B,B,A,B,B,B
E,C,C,B,C,A,B,C,B,B
A,B,C,B,B,C,C,B,B,A
F,D,C,B,C,A,C,B,C,B
G,D,D,A,D,C,D,B,B,D
D,D,C,C,A,A,A,B,C,C
G,A,C,A,C,D,C,C,C,C
C,A,C,B,D,A,B,D,A,A
A,C,B,D,D,B,A,C,B,A
B,A,C,D,A,D,B,B,A,C
B,D,A,B,D,D,B,C,C,C
D,B,B,C,B,C,C,A,D,B
B,C,A,A,D,A,C,A,A,A
C,A,D,A,D,C,C,A,A,B
A,A,A,D,C,B,D,C,D,B
A,D,C,D,D,C,D,B,B,A
F,C,C,C,A,D,B,A,C,A
G,A,A,D,D,C,A,D,D,A
B,C,B,B,B,B,D,A,D,B
A,D,C,D,B,A,A,A,C,C
D,A,A,A,C,A,D,B,C,B
G,D,C,C,D,D,C,B,D,D
A,A,B,B,C,A,C,C,D,B
F,A,D,A,A,C,A,A,B,A
D,B,B,C,B,A,B,C,A,A
G,C,B,C,D,C,D,A,C,A
F,B,C,D,D,C,B,A,A,D
A,B,C,B,A,C,B,C,D,C
C,B,A,B,A,D,C,B,B,B
C,A,C,D,D,A,C,D,B,B
A,D,D,D,D,B,B,D,A,B
D,A,C,D,D,D,A,B,A,B
F,B,D,B,B,A,A,B,C,B
E,A,A,A,D,D,D,D,A,B
