Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10
A,A,B,C,C,C,B,A,D,D
B,A,D,F,D,B,A,A,C,B
A,A,A,D,A,B,C,A,A,C
A,A,A,B,C,C,B,A,D,B
A,A,B,A,C,C,C,D,D,C
A,B,A,A,C,D,B,C,D,D
A,B,C,A,C,A,B,A,D,A
A,A,A,F,D,C,C,A,D,A
C,A,A,B,C,C,A,A,D,A
B,A,D,B,C,C,B,A,D,A
A,A,E,E,C,C,B,A,C,A
A,A,B,F,C,C,A,A,C,A
A,A,D,A,B,C,B,A,B,A
A,A,C,D,B,D,A,A,D,A
C,A,E,A,C,D,A,A,D,D
C,A,A,A,C,C,B,A,D,C
A,C,B,F,B,C,B,A,D,D
B,B,B,F,B,C,B,A,D,A
C,A,B,D,B,C,C,A,D,A
A,A,B,E,B,C,B,A,D,A
C,A,A,D,C,D,C,A,D,A
B,A,D,F,C,C,B,A,D,A
A,B,E,D,C,D,B,A,D,A
A,A,D,F,C,A,B,A,D,A
A,A,E,E,C,D,C,A,D,A
A,C,B,B,C,C,B,A,D,A
A,A,B,A,C,C,A,C,B,A
C,A,B,B,C,C,A,A,B,A
C,A,B,F,A,C,D,A,D,C
C,B,B,F,D,C,B,B,A,A
A,B,B,D,C,C,C,B,A,A
A,A,B,B,C,C,B,A,B,C
B,A,D,A,D,C,A,A,B,D
C,A,C,F,C,D,B,B,C,C
C,A,E,B,B,B,C,B,A,C
C,A,E,F,A,A,A,C,C,D
A,C,C,F,C,A,C,A,C,C
A,A,A,F,C,A,A,C,C,A
A,B,B,F,B,A,B,D,D,A
A,C,A,F,D,D,A,B,C,A
B,A,D,A,C,B,C,A,A,A
B,B,D,D,C,C,C,A,C,A
B,A,A,F,C,C,C,A,C,A
A,A,C,C,C,C,A,C,A,B
A,C,B,C,C,C,A,A,D,B
B,B,B,D,C,C,D,B,C,D
C,A,E,F,C,C,A,C,D,B
A,A,B,F,B,A,C,A,D,A
A,A,B,D,B,C,A,A,D,A
C,A,B,A,D,D,A,A,D,B
A,A,B,A,C,A,C,A,D,A
A,A,E,F,D,D,C,A,D,A
B,A,A,A,C,A,A,A,D,A
A,B,E,F,A,B,A,A,D,A
A,C,B,A,B,D,C,A,D,A
A,A,A,G,A,C,B,A,D,A
A,A,E,A,C,D,A,A,D,A
B,A,D,B,C,A,A,A,D,A
A,A,A,G,C,C,D,A,D,A
A,A,E,C,C,C,B,A,D,A
A,A,D,B,C,C,B,A,D,A
A,A,A,F,C,C,A,A,D,A
C,A,E,C,B,C,C,A,D,B
A,A,B,C,B,C,B,A,B,B
A,A,B,D,A,C,B,A,D,C
B,A,B,E,D,B,C,A,B,A
A,A,D,F,B,D,C,B,A,B
C,A,A,D,B,B,B,B,A,A
B,A,A,F,C,D,A,A,C,C
B,A,A,E,C,A,C,A,A,D
C,A,A,E,D,A,D,C,A,D
A,A,C,D,B,B,B,A,B,D
A,B,D,C,A,D,A,A,A,B
A,C,A,A,D,C,A,B,D,C
A,C,E,A,B,C,D,D,B,D
A,B,A,A,C,C,D,C,B,A
A,A,B,C,C,C,D,A,B,C
A,A,B,F,C,C,C,C,B,A
C,A,B,D,C,C,B,D,B,A
A,B,C,B,C,B,A,A,D,A
A,C,A,B,C,B,C,D,A,A
A,A,B,F,D,B,B,A,C,A
A,A,D,C,C,A,C,A,A,A
A,A,D,B,A,D,C,A,A,A
A,C,E,D,B,D,C,D,B,A
A,A,A,F,C,D,A,A,D,B
A,B,C,B,D,B,B,D,D,B
A,A,D,C,B,C,C,B,D,B
A,B,E,D,C,C,C,A,D,B
A,C,E,F,D,C,A,A,D,A
A,A,A,A,D,C,C,A,D,A
A,C,A,D,C,C,A,A,D,A
A,A,A,F,B,C,D,A,D,A
A,A,B,A,C,C,D,A,D,D
A,A,A,D,C,B,D,A,D,D
A,A,A,D,D,A,D,A,B,A
C,A,A,E,C,B,C,D,C,A
B,A,C,A,C,D,A,A,C,A
B,A,C,G,C,C,C,D,A,A
C,A,B,E,C,C,B,C,B,A
C,C,B,C,C,B,C,C,D,A
A,B,B,F,C,C,A,C,B,A
B,C,B,B,C,C,B,D,A,A
A,A,A,B,D,C,B,A,D,A
B,A,A,B,C,C,B,A,D,A
B,A,A,B,C,C,A,A,D,A
B,A,A,D,C,C,A,A,D,A
A,B,A,E,C,C,C,A,D,A
B,C,B,E,A,B,A,A,D,A
A,B,A,D,C,C,B,A,D,B
A,A,A,A,D,D,D,A,D,C
A,A,B,D,C,B,C,A,D,B
A,C,A,A,B,C,C,A,D,B
A,B,A,A,C,A,A,A,D,B
A,A,B,C,A,D,A,A,A,B
A,C,A,F,C,C,D,D,A,B
A,B,B,B,C,C,B,B,C,A
A,A,E,B,C,C,B,B,A,A
A,B,C,F,C,C,A,C,B,A
A,B,D,E,C,C,A,C,C,A
A,B,B,C,C,C,A,D,D,A
A,A,C,A,D,C,A,A,C,A
A,A,D,F,C,B,C,A,C,A
B,A,D,A,C,A,C,A,C,A
B,A,A,A,C,D,A,A,C,A
A,A,B,C,C,D,B,A,C,A
A,A,D,C,D,B,A,A,A,A
A,A,C,D,D,A,B,A,B,D
A,A,A,E,B,C,B,A,D,A
A,A,A,F,C,C,B,D,D,B
A,B,A,F,D,B,C,A,D,B
A,C,A,E,C,D,A,D,D,B
A,A,A,D,C,D,C,A,D,B
A,B,B,A,C,C,C,B,D,D
A,B,E,B,A,C,C,A,D,A
A,A,B,A,C,C,A,C,D,A
A,A,D,E,C,B,C,A,B,A
A,A,A,D,C,B,C,B,D,A
A,B,E,E,C,D,D,B,C,A
